FID,Id,ORIG_FID,POINT_X,POINT_Y
0,0,0,598557.529153999990000,4217035.141699999600000
1,0,0,598679.630639999990000,4233070.059910000300000
2,0,0,610509.137812000000000,4295758.154249999700000
3,0,0,616095.379863000010000,4297664.147719999800000
4,0,0,646910.794110000020000,4287203.289800000400000
5,0,0,667416.043454000030000,4168140.551680000000000
6,0,0,645587.874797999980000,4154249.898899999900000
7,0,0,593922.055485000020000,4211216.640209999900000
8,0,0,597653.719281999980000,4214517.494699999700000
9,0,0,598557.529153999990000,4217035.141699999600000
