point,route,distance,x,y
0,bay,0,545880.4612,545880.4612
1,bay,20,545896.6046,545896.6046
2,bay,40,545912.7479,545912.7479
3,bay,60,545928.9078,545928.9078
4,bay,80,545945.1113,545945.1113
5,bay,100,545961.3147,545961.3147
6,bay,120,545977.5511,545977.5511
7,bay,140,545993.8143,545993.8143
8,bay,160,546010.0775,546010.0775
9,bay,180,546026.3899,546026.3899
10,bay,200,546042.7124,546042.7124
11,bay,220,546059.0411,546059.0411
12,bay,240,546075.4225,546075.4225
13,bay,260,546091.8039,546091.8039
14,bay,280,546108.2077,546108.2077
15,bay,300,546124.6476,546124.6476
16,bay,320,546141.0875,546141.0875
17,bay,340,546157.5658,546157.5658
18,bay,360,546174.0637,546174.0637
19,bay,380,546190.5617,546190.5617
20,bay,400,546207.1137,546207.1137
21,bay,420,546223.6693,546223.6693
22,bay,440,546240.2368,546240.2368
23,bay,460,546256.8477,546256.8477
24,bay,480,546273.4587,546273.4587
25,bay,500,546290.08,546290.08
26,bay,520,546306.7463,546306.7463
27,bay,540,546323.4125,546323.4125
28,bay,560,546340.093,546340.093
29,bay,580,546356.8171,546356.8171
30,bay,600,546373.5412,546373.5412
31,bay,620,546390.2879,546390.2879
32,bay,640,546407.0722,546407.0722
33,bay,660,546423.8566,546423.8566
34,bay,680,546440.6764,546440.6764
35,bay,700,546457.5231,546457.5231
36,bay,720,546474.3698,546474.3698
37,bay,740,546491.2694,546491.2694
38,bay,760,546508.1805,546508.1805
39,bay,780,546525.0998,546525.0998
40,bay,800,546542.0771,546542.0771
41,bay,820,546559.0544,546559.0544
42,bay,840,546576.0641,546576.0641
43,bay,860,546593.1093,546593.1093
44,bay,880,546610.1545,546610.1545
45,bay,900,546627.2525,546627.2525
46,bay,920,546644.3582,546644.3582
47,bay,940,546661.4946,546661.4946
48,bay,960,546678.6519,546678.6519
49,bay,980,546695.826,546695.826
50,bay,1000,546713.0348,546713.0348
51,bay,1020,546730.2467,546730.2467
52,bay,1040,546747.5068,546747.5068
53,bay,1060,546764.7669,546764.7669
54,bay,1080,546782.0679,546782.0679
55,bay,1100,546799.3792,546799.3792
56,bay,1120,546816.7183,546816.7183
57,bay,1140,546834.0804,546834.0804
58,bay,1160,546851.4578,546851.4578
59,bay,1180,546868.8708,546868.8708
60,bay,1200,546886.2867,546886.2867
61,bay,1220,546903.7502,546903.7502
62,bay,1240,546921.2138,546921.2138
63,bay,1260,546938.7249,546938.7249
64,bay,1280,546956.2464,546956.2464
65,bay,1300,546973.7992,546973.7992
66,bay,1320,546991.3827,546991.3827
67,bay,1340,547008.9734,547008.9734
68,bay,1360,547026.6146,547026.6146
69,bay,1380,547044.2559,547044.2559
70,bay,1400,547061.9325,547061.9325
71,bay,1420,547079.627,547079.627
72,bay,1440,547097.3269,547097.3269
73,bay,1460,547115.0701,547115.0701
74,bay,1480,547132.8132,547132.8132
75,bay,1500,547150.5765,547150.5765
76,bay,1520,547168.3632,547168.3632
77,bay,1540,547186.15,547186.15
78,bay,1560,547203.9627,547203.9627
79,bay,1580,547221.7879,547221.7879
80,bay,1600,547239.6132,547239.6132
81,bay,1620,547257.4616,547257.4616
82,bay,1640,547275.3196,547275.3196
83,bay,1660,547293.1776,547293.1776
84,bay,1680,547311.0576,547311.0576
85,bay,1700,547328.9625,547328.9625
86,bay,1720,547346.8675,547346.8675
87,bay,1740,547364.7886,547364.7886
88,bay,1760,547382.7552,547382.7552
89,bay,1780,547400.7218,547400.7218
90,bay,1800,547418.6883,547418.6883
91,bay,1820,547436.7072,547436.7072
92,bay,1840,547454.7297,547454.7297
93,bay,1860,547472.7523,547472.7523
94,bay,1880,547490.7977,547490.7977
95,bay,1900,547508.8702,547508.8702
96,bay,1920,547526.9428,547526.9428
97,bay,1940,547545.0154,547545.0154
98,bay,1960,547563.1216,547563.1216
99,bay,1980,547581.237,547581.237
100,bay,2000,547599.3525,547599.3525
101,bay,2020,547617.4685,547617.4685
102,bay,2040,547635.6195,547635.6195
103,bay,2060,547653.7705,547653.7705
104,bay,2080,547671.9215,547671.9215
105,bay,2100,547690.0725,547690.0725
106,bay,2120,547708.2479,547708.2479
107,bay,2140,547726.4265,547726.4265
108,bay,2160,547744.6051,547744.6051
109,bay,2180,547762.7836,547762.7836
110,bay,2200,547780.968,547780.968
111,bay,2220,547799.1641,547799.1641
112,bay,2240,547817.3603,547817.3603
113,bay,2260,547835.5565,547835.5565
114,bay,2280,547853.7526,547853.7526
115,bay,2300,547871.9488,547871.9488
116,bay,2320,547890.145,547890.145
117,bay,2340,547908.3652,547908.3652
118,bay,2360,547926.5888,547926.5888
119,bay,2380,547944.8298,547944.8298
120,bay,2400,547963.0989,547963.0989
121,bay,2420,547981.368,547981.368
122,bay,2440,547999.6688,547999.6688
123,bay,2460,548017.9787,548017.9787
124,bay,2480,548036.2896,548036.2896
125,bay,2500,548054.6352,548054.6352
126,bay,2520,548072.9808,548072.9808
127,bay,2540,548091.3297,548091.3297
128,bay,2560,548109.7132,548109.7132
129,bay,2580,548128.0967,548128.0967
130,bay,2600,548146.4803,548146.4803
131,bay,2620,548164.8638,548164.8638
132,bay,2640,548183.2473,548183.2473
133,bay,2660,548201.6482,548201.6482
134,bay,2680,548220.057,548220.057
135,bay,2700,548238.4657,548238.4657
136,bay,2720,548256.8745,548256.8745
137,bay,2740,548275.2833,548275.2833
138,bay,2760,548293.692,548293.692
139,bay,2780,548312.1008,548312.1008
140,bay,2800,548330.5095,548330.5095
141,bay,2820,548348.9183,548348.9183
142,bay,2840,548367.327,548367.327
143,bay,2860,548385.7358,548385.7358
144,bay,2880,548404.1446,548404.1446
145,bay,2900,548422.5496,548422.5496
146,bay,2920,548440.9312,548440.9312
147,bay,2940,548459.3127,548459.3127
148,bay,2960,548477.6943,548477.6943
149,bay,2980,548496.0496,548496.0496
150,bay,3000,548514.4038,548514.4038
151,bay,3020,548532.755,548532.755
152,bay,3040,548551.0758,548551.0758
153,bay,3060,548569.3966,548569.3966
154,bay,3080,548587.7056,548587.7056
155,bay,3100,548605.9872,548605.9872
156,bay,3120,548624.2688,548624.2688
157,bay,3140,548642.521,548642.521
158,bay,3160,548660.7587,548660.7587
159,bay,3180,548678.9889,548678.9889
160,bay,3200,548697.1781,548697.1781
161,bay,3220,548715.3673,548715.3673
162,bay,3240,548733.5133,548733.5133
163,bay,3260,548751.6233,548751.6233
164,bay,3280,548769.6919,548769.6919
165,bay,3300,548787.6874,548787.6874
166,bay,3320,548805.672,548805.672
167,bay,3340,548823.6566,548823.6566
