node,x,y
227,590536.06,4213751.00
228,587187.48,4220547.50
238,588033.44,4215484.50
327,587115.01,4226086.72
328,595501.81,4215164.00
329,586524.50,4214278.50
356,597549.50,4211557.00
357,592570.81,4212285.00
358,584737.81,4213362.50
359,581339.19,4212608.50
360,577182.69,4210734.00
362,588514.00,4212713.00
363,585650.12,4216982.00
364,582403.25,4220726.00
365,582893.88,4218073.50
366,584113.94,4215092.00
367,579898.50,4214940.00
368,584038.44,4232924.99
371,584825.56,4230665.50
372,584477.94,4229699.50
373,584202.88,4227650.00
374,583405.81,4226001.00
375,582029.38,4225318.50
376,582619.12,4223721.50
377,580409.69,4221311.00
378,580883.94,4219731.00
379,577570.36,4225925.22
380,579008.40,4226812.01
381,577914.04,4224718.97
382,578714.31,4223766.50
384,579006.06,4218597.50
385,579506.16,4216872.14
386,579298.91,4224174.23
387,582836.10,4227002.59
388,581275.06,4226199.00
389,579140.61,4226821.39
390,580296.88,4226578.00
391,578454.06,4224898.57
392,582998.52,4231006.64
393,584002.19,4228691.75
394,583595.72,4228181.17
395,586195.94,4231292.50
396,583145.69,4227174.47
398,585043.44,4227579.00
399,586624.56,4226536.00
400,583953.70,4228964.31
403,594170.02,4229663.05
404,587585.01,4231278.77
405,587355.00,4231297.50
406,594670.31,4226141.00
408,595744.67,4229819.29
409,594540.00,4228496.50
410,595508.06,4226568.50
412,595783.00,4225403.51
413,591524.08,4226836.14
417,597984.19,4214857.00
418,597598.94,4216803.50
420,595611.00,4221949.50
421,593356.06,4224968.50
422,591322.69,4225405.00
425,588523.88,4226635.50
428,583038.25,4223480.00
432,596953.43,4217057.71
433,596891.70,4217428.58
434,597007.29,4217609.06
436,587669.76,4218824.37
440,579166.83,4219254.92
442,578840.81,4220274.00
443,579941.31,4223084.50
444,579236.25,4219359.50
445,581392.12,4223626.50
463,600739.94,4209909.00
464,600535.50,4213950.50
465,599135.50,4212739.00
466,599892.69,4211891.50
