id,subloc,variable,path,selector,agency,unit,datum,timezone,datum_adj,vertical_position
BDL,default,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\s49_beldons_bdl_temp_inst_2*.csv,0,dwr-emp,degC,NAVD,PST,0,0
CYG,default,temp,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_temp_20190808\cyg.csv,0,dwr-emp,degC,NAVD,PST,0,0
MSL,default,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\s71_mzmroar_msl_temp_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,0
NSL,default,temp,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_temp_20190808\nsl.csv,0,dwr-emp,degC,NAVD,PST,0,0
BLL,default,temp,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_temp_20190808\bll_riv.csv,0,dwr-emp,degC,NAVD,PST,0,0
HUN,default,temp,\\nasbdo\Modeling_Data\continuous_station_repo\raw\incoming\des\DWR_DES_HUN_Temperature_2018_2020.csv,0,dwr-emp,degC,NAVD,PST,0,0
HUN,default,stage,\\nasbdo\Modeling_Data\continuous_station_repo\raw\incoming\des\DWR_DES_HUN_Stage_1998_2020.csv,0,dwr-emp,degC,NAVD,PST,0,0
IBS,default,temp,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_temp_20190808\ibs.csv,0,dwr-emp,degC,NAVD,PST,0,0
VOL,default,temp,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_temp_20190808\vol.csv,0,dwr-emp,degC,NAVD,PST,0,0
GOD,default,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\s37_godfather_god_temp_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,0
SNC,default,temp,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_temp_20190808\snc.csv,0,dwr-emp,degC,NAVD,PST,0,0
GZL,default,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\gzl_grizzly_gzl_temp_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,0
GZB,default,temp,\\nasbdo\Modeling_Data\continuous_station_repo\raw\incoming\des\DWR_DES_GZB_Temperature_2015_2020.csv,0,dwr-emp,degC,NAVD,PST,0,0
RYC,default,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\ryc_ryer_ryc_temp_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,
HON,default,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\hon_honker_hon_temp_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,0
CSE,default,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\c2b_collinsville_cse_temp_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,0
MRZ,lower,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\martinez_martinez_mrz_temp_bot_inst_*.csv.csv,0,dwr-emp,degC,NAVD,PST,0,1
MRZ,upper,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\martinez_martinez_mrz_temp_surf_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,0
MAL,lower,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\mallard_mallard_mal_temp_bot_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,1
MAL,upper,temp,\\cnrastore-bdo\Modeling_Data\des_emp\raw\mallard_mallard_mal_temp_surf_inst_*.csv,0,dwr-emp,degC,NAVD,PST,0,0
BDL,default,salt,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_ec_20190808\bdl.csv,0,dwr-emp,ec,NAVD,PST,0,0
CYG,default,salt,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_ec_20190808\cyg.csv,0,dwr-emp,ec,NAVD,PST,0,0
MSL,default,salt,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_ec_20190808\msl.csv,0,dwr-emp,ec,NAVD,PST,0,0
BLL,default,salt,\\cnrastore-bdo\BDO_HOME\SCHISM\fielddata\emp_ec_20190808\bll_riv.csv,0,dwr-emp,ec,NAVD,PST,0,0
BLL,default,elev,"\\nasbdo\Modeling_Data\continuous_station_repo\raw\incoming\des\DWR_DES_BLL_Stage River_2009_2019.csv",0,dwr_des,ft,NAVD,PST,0,0
HUN,default,salt,\\nasbdo\Modeling_Data\continuous_station_repo\raw\incoming\des\DWR_DES_HUN_Specific Conductance_2018_2020.csv,0,dwr-emp,ec,NAVD,PST,0,0
IBS,default,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\s97_ibis_ibs_ec_inst_*.csv,0,dwr-emp,ec,NAVD,PST,0,0
VOL,default,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\s42_volanti_vol_ec_inst_*.csv,0,dwr-emp,ec,NAVD,PST,0,0
GOD,default,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\s37_godfather_god_ec_inst_*.csv,0,dwr-emp,ec,NAVD,PST,0,0
SNC,default,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\s21_sunrise_snc_ec_inst_*.csv,0,dwr-emp,ec,NAVD,PST,0,0
CSE,default,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\c2b_collinsville_cse_ec_inst_*.csv,0,dwr-emp,ec,NAVD,PST,0,0
GZL,default,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\gzl_grizzly_gzl_ec_inst_2015_2019.csv,0,dwr-emp,ec,NAVD,PST,0,0
GZB,default,salt,\\nasbdo\Modeling_Data\continuous_station_repo\raw\incoming\des\DWR_DES_GZB_SpC_2015_2020.csv,0,dwr-emp,ec,NAVD,PST,0,0
RYC,default,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\ryc_ryer_ryc_ec_inst_2015_2019.csv,0,dwr-emp,ec,NAVD,PST,0,
HON,default,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\hon_honker_hon_ec_inst_*.csv,0,dwr-emp,ec,NAVD,PST,0,0
MRZ,lower,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\martinez_martinez_mrz_ec_bot_inst_*.csv,0,dwr-emp,ec,NAVD,PST,0,1
MRZ,upper,salt,\\cnrastore-bdo\Modeling_Data\des_emp\raw\martinez_martinez_mrz_ec_surf_inst_*.csv,0,dwr-emp,ec,NAVD,PST,0,0
