id,depth_id,sensor_depth,label,,,
MAL,0,1,upper,,,
MAL,1,9.4,lower,,,
MRZ,0,1,upper,,,
MRZ,1,7.6,lower,,,
ANH,0,1,upper,,,
ANH,1,3.5,lower,,,
RRI,0,4,upper,,,
RRI,1,10,lower,,,
tibc1,0,2,upper,,,
scqc1,0,1.5,upper,,,
11172765,0,1.36,upper,San Mateo,,
11172765,1,10.73,upper,,,
11455820,0,3.11,lower,Carquinez,,
11455820,1,15.57,upper,,,
11455780,0,1.19,upper,Benicia,,
11455780,1,16.77,lower,,,
375607122264701,0,6.932,mid,Richmond,,
375607122264701,1,14.444,lower,,,
373025122065901,0,6.714,upper,Dumbarton,,
373025122065901,1,13.35,lower,,,
374938122251801,0,2.26,upper,Alcatraz,,
,,,,,,
