id,old_id,agency,station_utm,station_utm_new
ANH,B95020,dwr_ncro,T,T
ANH,ANH,dwr_des,T,T
BEN,B94175,dwr_ncro,T,T
CCS,CCS,usbr,T,T
CIS,B95290,dwr_ncro,T,T
CLC,CLC,dwr_om,T,T
DBI,B95260,dwr_ncro,T,T
DGL,B95325,dwr_ncro,T,T
EMM2,B91120,dwr_ncro,T,T
EMM,EMM,usbr,T,T
FRP,FRP,usbr,T,T
GCT,B95300,dwr_ncro,T,T
GLN,GLN,usbr,T,T
HBP,HBP,dwr,T,T
HLL,HLL,usbr,T,T
HRO,HRO,dwr,T,T
IDB,IDB,ccwd,T,T
INB,INB,ccwd,T,T
ISH,B95283,dwr,T,T
JER,JER,usbr,T,T
MAL,MAL,dwr_des,T,T
MHR,B95530,dwr_ncro,T,T
MSD,B95820,dwr_ncro,T,T
MSD,MSD,dwr_des,T,T
MTB,B95503,dwr_ncro,T,T
OAD,B95366,dwr_ncro,T,T
OBD,B95365,dwr_ncro,T,T
BAC,B95250,dwr_ncro,T,T
OH1,B95400,dwr_ncro,T,T
ORB,B95270,dwr_ncro,T,T
PPT,PPT,dwr_des,T,T
RSL,B95218,dwr,T,T
SAL,SAL,usbr,T,T
SJR,SJR,dwr_des,T,T
STI,STI,usbr,T,T
TMS,B91160,dwr_ncro,T,T
TPI,B95421,dwr_ncro,T,T
TPP,B95425,dwr_ncro,T,T
TPS,B95420,dwr_ncro,T,T
TRP,TRP,dwr_om,T,T
UNI,UNI,usbr,T,T
VIC,VIC,usbr,T,T
BKS,BKS,dwr,T,T
VNI,B95580,dwr,T,T
CSE,CSE,dwr_des,T,T
C3A,SRH,dwr_des,T,T
D11,D11,dwr,T,T
D16,D16,dwr,T,T
D19,D19,dwr,T,T
RVB,RVB,dwr_des,T,T
MRZ,MRZ,dwr_des,T,T
SNC,SNC,dwr_des,T,T
GYS,GYS,dwr_des,T,T
VOL,VOL,dwr_des,T,T
BDL,BDL,dwr_des,T,T
IBS,IBS,dwr_des,T,T
LIS,B91560,dwr_ncro,T,T
WCI,WCI,dwr_ncro,T,T
ORI,B95341,dwr_ncro,T,T
RCS,RCS,dwr_ncro,T,T
NSL,E33670,dwr_ncro,T,T
SJL,B95765,dwr_ncro,T,T
BDT,B95740,dwr_ncro,T,T
RRI,B95660,dwr_ncro,T,T
RRI,RRI,dwr_des,T,T
