OBJECTID,Id,Name,Lat,Lon,POINT_X,POINT_Y,D1641_id,discrete_sampling,Type,wdl_id,Agency,alias_id2,WQ,Stage,Flow,EC,Temp,Turb,pH,DO,Fluoro,UVA,Chloro,Chloride,Vel,Notes2,Status
1,B95020,San Joaquin at Antioch,38.01784713,-121.802883,"605,075.10","4,208,474.68",D12A,,,B95020,dwr_ncro,ANH,,x,,,,,,,,,,,,USBR and DWR have equipment within a 30ƒ??x30ƒ?? building (in a 10ƒ??x10ƒ?? room) located on a pier that is the City of Antiochƒ??s pumping station,
2,B94175,Mokelumne River at Benson's Ferry,38.2555,-121.44,"636,491.25","4,235,314.55",,,C,B94175,dwr_ncro,BEN,,x,,,,,,,,,,,,,
3,CCS,Cache Slough,38.29713655,-121.7477601,"609,500.27","4,239,525.42",,,,,usbr,CCS,x,,,x,,x,,,,,,,,Old Vallejo Pumping Plant,
4,B95290,Old River at Coney Island,37.8461,-121.5369,"628,727.75","4,189,748.26",,,C,B95290,dwr_ncro,CIS,,x,,,,,,,,,,,,,
5,CLC,Clifton Court,37.8298,-121.5574,"626,951.95","4,187,911.58",C9,,C,,dwr_om,CLC,x,,,x,x,x,x,,x,,,,,"Not 100% sure this is C9. If so, C9 was at one time outside Forebay on other side of the levee",
6,B95260,Discovery Bay at Indian Slough,37.91798191,-121.5868197,"624,214.63","4,197,656.49",,,,B95260,dwr_ncro,DBI,,x,,,,,,,,,,,,,
7,B95325,Doughty Cut above Grant Line Canal,37.815,-121.425,"638,631.83","4,186,457.62",,,C,B95325,dwr_ncro,DGL,x,x,,x,x,,,,,,,,,,
8,B91120,Sacramento River at Emmaton,38.08428584,-121.7388746,"610,598.75","4,215,917.63",D22A,,,B91120,dwr_ncro,D22,x,,,x,x,,,,,,,,,DWR and USBR at same site at end of pier. Bureau listed as D22A,
9,FRP,Farrar Park,38.01186758,-121.6390022,"619,475.45","4,208,005.70",,,C,,usbr,FRP,x,,,x,x,,,,,,,,,Moved to this covered berth according to description by Dominique Azpeitia,
10,B95300,Grant Line Canal at Tracy Rd Bridge,37.82010741,-121.4496329,"636,454.09","4,186,988.06",,,,B95300,dwr_ncro,GCT,x,x,,x,x,,,,,,,,,,
11,GLN,Green's Landing,38.3456,-121.5468,"626,989.16","4,245,160.42",,,,,usbr,GLN,,,,,,,,,,,,,,Not confirmed. C3 (Hood) intended to replace this station,
12,HBP,Harvey O Banks PP,37.79827347,-121.6236022,"623,690.35","4,187,532.48",,,,,dwr,HBP,x,,,x,x,x,x,,x,x,,,,Not sure about HRO vs HBP. Both siginficantly nudged to accommodate domain,
13,HLL,Holland Tract,38.00701135,-121.580556,"624,614.63","4,207,543.54",,,,,usbr,HLL,x,,,x,x,,,,,,,,,,
14,HRO,Harvey O Banks PP,37.79827347,-121.6236022,"623,690.35","4,187,532.48",,,,,dwr,HRO,,,x,,,,,,x,,,x,,Not sure about HRO vs HBP. Both siginficantly nudged to accommodate domain,
15,IDB,CCWD Old River near Discovery Bay,37.88577903,-121.575998,"625,220.43","4,194,097.78",,x,D,,ccwd,IDB,,,x,,,,,,,,,x,,,
16,INB,CCWD Rock Slough PP,37.99627352,-121.7019022,"613,977.67","4,206,196.48",,,,,ccwd,INB,x,,,,,,,,,,,x,,,O
17,B95283,Italian Slough Headwater near Byron,37.83829885,-121.6015684,"623,050.71","4,188,795.46",,,,B95283,dwr,ISH,,x,,,,,,,,,,,,,
18,JER,Jersey Point,38.05216585,-121.6889874,"615,024.25","4,212,414.17",D15,,,,usbr,JER,x,,,x,x,x,,,,,,,,Pier is used by USBR and possibly USGS for wq,
19,MAL,Sacramento River at Mallard Island,38.04288249,-121.9201106,"594,757.53","4,211,123.27",D10A,,,<Null>,dwr_des,MAL,x,x,,x,x,x,x,x,,,x,,,Collocated with MWQI Mallardis,
20,B95530,Middle River at Howard Rd Bridge,37.877,-121.3835,"642,165.79","4,193,399.54",,,,B95530,dwr,MHR,x,x,,x,x,,,,,,,,,,
21,B95820,San Joaquin at Mossdale Bridge,37.78613049,-121.3064425,"649,126.07","4,183,436.80",C7A,,C,B95820,dwr,MSD,,x,x,,x,,,,,,,,x,"Flow transect is 0.25 miles ds from bridge. Was once at bridge, but ferrous metals interfered with",
22,B95503,Middle River at Tracy Blvd,37.8816,-121.456,"635,780.82","4,193,801.95",,,C,B95503,dwr,MTB,x,x,,x,x,,,,,,,,,,
23,B95366,Old River Barrier near DMC (Above),37.81055556,-121.5422222,"628,312.51","4,185,763.05",,,,B95366,dwr,OAD,x,x,,x,x,,,,,,,,,"At OAD, NCRO collects stage, EC, pH, DO, turbidity and chlorophyll above the temp barrier (B95366 and B953660) and telemeters it.  ",
24,B95365,Old River below Dam,37.8116,-121.547,"627,898.63","4,185,906.33",,,C,B95365,dwr,OBD,x,x,,x,x,x,x,x,,,x,,,At OBD NCRO collects only stage (B95365) and telemeters. ,
25,B95250,Old River at Bacon Island,37.96791667,-121.5743889,"625,406.47","4,203,423.64",,,,B95250,dwr,BAC,x,x,,x,x,,,,,,,,,Collocated with USGS 11313405 on USGS pile. Historically across river.,
