File with Error,Error Message,Solution/Notes
\<RUNDIR>\outputs\fatal.error,"0: ABORT:  init: nc dim mismatch,      410577      540011      951102          23           2      410577      540011      951102           2           2  ",The run is looking for 2 dimensions (per the run) and the hotstart file has 3 (23 nVert)
\<RUNDIR>\outputs\fatal.error,"0: ABORT: init: nc dim mismatch, 459056 547088 1006697 23 2 459056 547088 1006697 23 3",The run is looking for 3 tracers and finding 2 in the hotstart file
\<RUNDIR>\outputs\fatal.error,122: ABORT: you must have sflux_inputs_file!,"SCHISM wants a file named sflux_inputs.txt under the sflux directory. Contents::

    &sflux_inputs
    /"
\<RUNDIR>\outputs\fatal.error,0: ABORT: MISC: elev2D.th.nc,"Ended up being a capitalization issue (my filename was elev2d.th.nc

Could have been that file was missing, run 'gen_elev2d' bdschism utility"
\<RUNDIR>\outputs\fatal.error, 0: ABORT: STEP: tracer nudging nc(2),"Nudging data has run out. 
This could be that your obs-coastal run has finished running and you need to restart and switch to coastal only (see `nudging warm-up documentation <https://cadwrdeltamodeling.github.io/BayDeltaSCHISM/topics/nudging.html>`_)"
\<RUNDIR>\outputs\fatal.error,30: ABORT:  Inconsistent # of nodes at open boundary          13          50 \n 58,"This is an error at the Yolo boundary which has 58 nodes in hgrid but bctides doesn't reflect the correct number of nodes at that boundary. The Yolo boundary is boundary #13 and looks for 50 nodes but finds 58 in hgrid

Solution would be to change 50 to 58 in the bctides.in.2d and 3d files, OR to run the `prepare_schism bctides utility <https://github.com/CADWRDeltaModeling/BayDeltaSCHISM/blob/master/templates/bay_delta/main_bay_delta_bctides.yaml>`_"
\<RUNDIR>\outputs\fatal.error,0: ABORT: Wind scaling factor must be positive: 200175 -2.00000000000000,"Info from File ``src/Hydro/schism_init.F90``: ``iwindoff = 1`` (needed only if ``nws/=0``; '1' needs ``windfactor.gr3``). Looks like element 200175 and its neighbors have values of -2.000. Use ``convert_polygon`` to convert yaml to shapefile to see ``windfactor.yaml`` polygons in GIS, edit and save. Commands::

    convert_polygons --input windfactor.yaml --output windfactor/windfactor.shp
    convert_polygons --input windfactor/windfactor.shp --output windfactor/windfactor.yaml

Then copy the edited polygon into the ``windfactor.yaml`` input file to re-run ``prepare_schism main_bay_delta.yaml``."
\<RUNDIR>\outputs\fatal.error,26: ABORT:  no appropriate time exists for: sflux_air_1                                       time_now =    2454983.33333333      first time available =    2458246.00000000      last time available =    2458484.95833331      got_bracket =  F got_suitable_bracket =  F  ,when make_links_full.py was ran the byear/eyear needs to be set appropriately for the model time period
\<RUNDIR>\outputs\fatal.error,"  23: ABORT:  STEP: wetted cross section length on open bnd <=0; boundary ndx=           5 , length=  0.000000000000000E+000","Clifton Court Forebay (CCF) is drying out. From ``bctides.in`` you can see that swp is the fifth boundary index. One possible solution is to disable the strict gate operation timeseries based on historical reporting and instead allows the gate to operate on a more ""relaxed"" operational rule in ``hydraulics.in``. A better solution is to run the ``ccf_gate`` utility in bdschism."
\<RUNDIR>\outputs\fatal.error,"112: ABORT: STEP: wetted cross section length on open bnd <=0; boundary ndx= 14 , length= 0.000000000000000E+000","By looking at bctides you can see that the 14th index is north_bay.

Checking the flux.th for this timestep & the 13th column (no flux for ocean)"
