,Station,nh4,nox,po4,ta,chla,ton,sio2,Lat,Lon,do,depth,ph,x,y
0,Del Valle Reservoir,1.4285714285714286,24.28571428571429,1.2914056950991153,,,,,37.6147,-121.74600000000001,,,,610673.6610678332,4163805.862395704
1,H.O. Banks Headworks,5.714285714285714,84.28571428571428,2.9056628139730094,0.0016400000000000002,,,,37.8019,-121.62,,,,621488.4613553468,4184732.639310248
2,Del Valle Check,2.857142857142857,93.57142857142858,2.5828113901982306,0.0016400000000000002,,,,37.6547,-121.742,,,,610967.1905581539,4168248.6686429544
3,TAB River Outlet,1.4285714285714286,0.0,0.0,0.0009600000000000001,,,,39.4556,-121.637,,,,617266.0746104107,4368223.454306898
4,OR nr Byron Hwy 4 Br,5.714285714285714,72.85714285714286,1.6142571188738941,0.0014000000000000002,,,,37.891,-121.57,,,,625739.0210581146,4194685.15579631
5,Blind Point,,,,,0.79,,,38.0325,-121.719,,,,612421.0034018504,4210195.330726735
6,Bethel near Piper,10.000000000000002,59.285714285714285,1.937108542648673,,0.78,,,38.0334,-121.62,,,,621108.1895286633,4210419.526766085
7,D10A - Mallard,11.428571428571429,43.333333333333336,2.367577107681712,0.0016150000000000001,0.5233333333333333,,,38.0429,-121.92,,,,594767.2136902234,4211125.329314389
8,False R Nr Oakley,8.214285714285714,54.285714285714285,1.9371085426486732,,1.21,,,38.0555,-121.667,,,,616948.1404272851,4212811.566877879
9,Fisherman's Cut,11.071428571428571,56.07142857142857,1.937108542648673,,0.525,,,38.0656,-121.648,,,,618598.8363893325,4213956.351789481
10,CLIFTON,5.714285714285714,80.00000000000001,2.9056628139730094,0.00152,,,,37.8298,-121.557,,,,626987.1487300672,4187912.119448578
11,Check 29,1.4285714285714286,105.0,,0.00142,,,,35.232,-119.33,,,,834022.5563912563,3904947.8146367213
12,Check 41,2.857142857142857,122.85714285714286,0.0,0.00168,,,,34.834,-118.712,,,,892203.792316322,3863026.8908940195
13,Check 21,5.714285714285714,0.0,2.5828113901982306,0.0019000000000000002,,,,36.0142,-119.977,,,,772446.2778479077,3989751.763171505
14,CLEAR LK LO ARM CL3 ,0.35714285714285715,0.0,0.0,0.0037600000000000003,,38.21428571428571,,38.9643,-122.679,,,,527809.9461263309,4312863.916305595
15,CLEAR LK 23 OAKS ARM,0.0,0.0,1.2914056950991153,0.00372,,37.85714285714286,,39.0116,-122.696,,,,526319.6201674106,4318107.80142367
16,CLEAR LK 15-UP ARM C,0.0,0.0,4.197068509072125,0.00335,,34.285714285714285,,39.0632,-122.866,,,,511592.9676613399,4323798.536234312
17,Castaic Tower Outlet,0.0,47.142857142857146,0.9685542713243365,0.00184,,,,34.5152,-118.61,,,,903085.2246425613,3828042.8602168667
18,Pyramid TU Outlet,1.4285714285714286,60.714285714285715,0.6457028475495576,0.0017200000000000002,,,,34.6449,-118.764,,,,888330.4694746188,3841834.5012176805
19,DMC @McCabe Rd,4.285714285714286,142.85714285714286,5.165622780396461,0.00266,,,,37.1269,-121.039,,,,674200.9939439474,4110749.6888559945
20,CHECK 13,4.285714285714286,107.85714285714286,3.2285142377477882,0.0018200000000000002,,,,37.0742,-121.015,,,,676455.4584311036,4104946.778000905
21,Gianelli,2.857142857142857,100.0,3.2285142377477882,0.0017400000000000002,,,,37.0665,-121.072,,,,671405.2764160905,4103988.0891236267
22,Pacheco PP,2.142857142857143,57.142857142857146,3.2285142377477882,0.00176,,,,37.0619,-121.181,,,,661723.6767083261,4103286.6447737343
23,LkPerris@Outlet,0.0,4.285714285714286,0.0,,,,,33.8399,-117.176,,,,1039195.3882672297,3759696.8921768675
24,AMERICAN,0.7142857142857143,7.142857142857143,0.0,0.0006000000000000001,,,,38.5596,-121.417,,,,637924.3688719382,4269094.582501539
25,NEMDC @ ElCamino Rd,4.285714285714286,120.0,12.268354103441595,0.00256,,,,38.6112,-121.46700000000001,,,,633472.1311957673,4274746.880113861
26,C3A - Hood,39.642857142857146,27.142857142857142,2.74423710208562,0.0016600000000000002,,,,38.3677,-121.52,,,,629291.90036423,4247650.0014463905
27,Check 66,1.4285714285714286,70.71428571428572,0.0,0.0014800000000000002,,,,34.336,-117.304,,,,1024249.0811373873,3814139.313678865
28,Silverwood Lk Tower,11.428571428571429,37.85714285714286,0.9685542713243365,,,,,34.2793,-117.329,,,,1022297.9121916607,3807711.6041909796
29,OR@DMC-US,,,,,3.1833333333333336,,,37.8103,-121.542,,,,628341.0208758512,4185768.946107806
30,GLC n. OR,,,,,0.625,,,37.8201,-121.545,,,,628059.9964105359,4186852.213613031
31,C10A,3.928571428571429,117.38095238095238,3.0670885258603993,0.0026400000000000004,3.043333333333333,,,37.6793,-121.265,,,,652995.3019822356,4171649.8222124237
32,Old River at TWA,,,,,4.695,,,37.8028,-121.45700000000001,,,,635837.3616896828,4185056.9175988394
