,Station,nh4,nox,po4,ta,chla,ton,sio2,Lat,Lon,do,depth,ph,x,y
0,Del Valle Reservoir,0.02,0.34,0.04,,,,,37.6147,-121.74600000000001,,,,610673.6610678332,4163805.862395704
1,H.O. Banks Headworks,0.08,1.18,0.09,82.0,,,,37.8019,-121.62,,,,621488.4613553468,4184732.639310248
2,Del Valle Check,0.04,1.31,0.08,82.0,,,,37.6547,-121.742,,,,610967.1905581539,4168248.6686429544
3,TAB River Outlet,0.02,0.0,0.0,48.0,,,,39.4556,-121.637,,,,617266.0746104107,4368223.454306898
4,OR nr Byron Hwy 4 Br,0.08,1.02,0.05,70.0,,,,37.891,-121.57,,,,625739.0210581146,4194685.15579631
5,Blind Point,,,,,0.0711,,,38.0325,-121.719,,,,612421.0034018504,4210195.330726735
6,Bethel near Piper,0.14,0.83,0.06,,0.0702,,,38.0334,-121.62,,,,621108.1895286633,4210419.526766085
7,D10A - Mallard,0.16,0.6066666666666667,0.07333333333333335,80.75,0.047099999999999996,,,38.0429,-121.92,,,,594767.2136902234,4211125.329314389
8,False R Nr Oakley,0.11499999999999999,0.76,0.060000000000000005,,0.1089,,,38.0555,-121.667,,,,616948.1404272851,4212811.566877879
9,Fisherman's Cut,0.155,0.7849999999999999,0.06,,0.04725,,,38.0656,-121.648,,,,618598.8363893325,4213956.351789481
10,CLIFTON,0.08,1.12,0.09,76.0,,,,37.8298,-121.557,,,,626987.1487300672,4187912.119448578
11,Check 29,0.02,1.47,,71.0,,,,35.232,-119.33,,,,834022.5563912563,3904947.8146367213
12,Check 41,0.04,1.72,0.0,84.0,,,,34.834,-118.712,,,,892203.792316322,3863026.8908940195
13,Check 21,0.08,0.0,0.08,95.0,,,,36.0142,-119.977,,,,772446.2778479077,3989751.763171505
14,CLEAR LK LO ARM CL3 ,0.005,0.0,0.0,188.0,,0.5349999999999999,,38.9643,-122.679,,,,527809.9461263309,4312863.916305595
15,CLEAR LK 23 OAKS ARM,0.0,0.0,0.04,186.0,,0.53,,39.0116,-122.696,,,,526319.6201674106,4318107.80142367
16,CLEAR LK 15-UP ARM C,0.0,0.0,0.13,167.5,,0.48,,39.0632,-122.866,,,,511592.9676613399,4323798.536234312
17,Castaic Tower Outlet,0.0,0.66,0.03,92.0,,,,34.5152,-118.61,,,,903085.2246425613,3828042.8602168667
18,Pyramid TU Outlet,0.02,0.85,0.02,86.0,,,,34.6449,-118.764,,,,888330.4694746188,3841834.5012176805
19,DMC @McCabe Rd,0.06,2.0,0.16,133.0,,,,37.1269,-121.039,,,,674200.9939439474,4110749.6888559945
20,CHECK 13,0.06,1.51,0.1,91.0,,,,37.0742,-121.015,,,,676455.4584311036,4104946.778000905
21,Gianelli,0.04,1.4,0.1,87.0,,,,37.0665,-121.072,,,,671405.2764160905,4103988.0891236267
22,Pacheco PP,0.03,0.8,0.1,88.0,,,,37.0619,-121.181,,,,661723.6767083261,4103286.6447737343
23,LkPerris@Outlet,0.0,0.06,0.0,,,,,33.8399,-117.176,,,,1039195.3882672297,3759696.8921768675
24,AMERICAN,0.01,0.1,0.0,30.0,,,,38.5596,-121.417,,,,637924.3688719382,4269094.582501539
25,NEMDC @ ElCamino Rd,0.06,1.68,0.38,128.0,,,,38.6112,-121.46700000000001,,,,633472.1311957673,4274746.880113861
26,C3A - Hood,0.555,0.38,0.085,83.0,,,,38.3677,-121.52,,,,629291.90036423,4247650.0014463905
27,Check 66,0.02,0.99,0.0,74.0,,,,34.336,-117.304,,,,1024249.0811373873,3814139.313678865
28,Silverwood Lk Tower,0.16,0.53,0.03,,,,,34.2793,-117.329,,,,1022297.9121916607,3807711.6041909796
29,OR@DMC-US,,,,,0.28650000000000003,,,37.8103,-121.542,,,,628341.0208758512,4185768.946107806
30,GLC n. OR,,,,,0.056249999999999994,,,37.8201,-121.545,,,,628059.9964105359,4186852.213613031
31,C10A,0.055,1.6433333333333333,0.09500000000000001,132.0,0.2739,,,37.6793,-121.265,,,,652995.3019822356,4171649.8222124237
32,Old River at TWA,,,,,0.42255000000000004,,,37.8028,-121.45700000000001,,,,635837.3616896828,4185056.9175988394
33,OLD R BL HEAD       ,,,,,0.28395000000000004,,,37.8076,-121.331,,,,646920.9641836444,4185780.1662894012
34,DOUGHTY CUT - DGL,,,,,0.36134999999999995,,,37.8147,-121.425,,,,638632.3881358635,4186424.3279634635
35,GLC@Tracy,,,,,0.25604999999999994,,,37.8199,-121.45,,,,636422.1654793331,4186964.5097124004
36,MR@UNDINE,,,,,0.1647,,,37.8339,-121.38600000000001,,,,642028.6024487184,4188613.346619978
37,Victoria Canal,,,,,0.07154999999999999,,,37.871,-121.53,,,,629291.3530828349,4192520.6590554113
38,MR at Howard Rd.,,,,,0.036449999999999996,,,37.8762,-121.383,,,,642211.3036613255,4193311.5367490062
39,MR n. Tracy Rd.,,,,,0.06344999999999999,,,37.8814,-121.46700000000001,,,,634813.7722535443,4193763.8068857333
40,MR@UnionPt/P10A,0.095,1.27,0.09,70.0,0.10049999999999999,,,37.8908,-121.488,,,,632949.9943648154,4194776.684948765
41,OR@Bacon Is,0.11,0.95,0.05,66.0,,,,37.9694,-121.572,,,,625429.8503008329,4203381.667506793
42,Turner Cut,,,,,0.0594,,,37.9925,-121.454,,,,635752.5224677001,4206110.424005372
43,Middle River Nr Holt,,,,,0.0477,,,38.0031,-121.51100000000001,,,,630728.3135222232,4207204.989162641
44,Holland Cut Nr BI,0.125,0.76,0.04,,0.06885,,,38.0158,-121.58200000000001,,,,624472.9948257325,4208516.7982513495
45,OR Nr Franks Tract,0.16,0.71,0.06,,0.06255000000000001,,,38.0712,-121.57799999999999,,,,624730.095333552,4214669.409674168
46,Barker Sl. Pump Plnt,0.09,0.32,0.27,118.0,,,,38.2759,-121.796,,,,605312.542187012,4237112.899767345
47,SACWSACINT,0.02,0.375,0.04,88.0,,,,38.598,-121.54899999999999,,,,626355.5218297096,4273166.0086739855
48,COLUSA,0.14,0.32,0.1,213.0,,,,38.7993,-121.725,,,,610717.6903337121,4295277.043486983
49,Liberty Cut @ USGS,0.095,0.47500000000000003,0.16333333333333333,197.0,0.2394,,,38.3289,-121.66799999999999,,,,616424.2530380843,4243147.551959661
50,Toe Drain YB LISBON,0.21,0.63,0.20500000000000002,,0.67185,,19.25,38.4749,-121.588,,,,623168.9582914507,4259452.669450492
0,C10A,0.04,2.04,0.11,,0.24029999999999999,,15.5,37.67934,-121.2647,9.6,,7.4,653021.6763750255,4171654.7504582866
1,C3A,0.5,0.37,0.08,,0.0729,,11.5,38.36771,-121.5205,9.7,9.42,7.2,629248.2006271954,4247650.4107149625
