date,VNS,YOLO,WWTP,CSMR,MOKE,CAL,Eastside,Precp,FPT,DCU,CCC,BKR,CCFB,Jones,DCC,NDOI,RIO,EI,OMR,Qwest,EMM,JER,X2
1/1/2024,2340,1140,150,472,283,153,908,3801,26492,1206,93,32,1873,3255,100%,28372,21974,17%,-3846,4086,150,200,70
2/1/2024,7165,15347,150,1438,555,133,2127,3248,58409,879,92,19,2589,3997,100%,78872,49738,8%,-2825,12773,150,200,59
3/1/2024,6545,5826,150,2085,735,150,2970,1299,51609,1293,91,4,1919,2673,100%,62420,43726,7%,-1394,12549,150,200,57
4/1/2024,5295,1440,150,1333,389,48,1770,1411,33703,1847,227,31,1338,1089,100%,39237,28046,6%,-262,9459,150,200,60
5/1/2024,6207,175,150,671,1063,149,1883,0,23198,2363,238,60,653,2179,50%,26119,16296,9%,-329,9916,150,200,64
6/1/2024,2790,81,150,174,651,211,1036,0,12337,3671,187,63,1529,2168,0%,8777,5753,23%,-3294,3305,309,302,74
7/1/2024,1026,85,150,78,40,248,365,0,22394,4286,202,62,6684,4603,0%,8183,12691,47%,-11202,-4188,370,346,77
8/1/2024,999,84,150,53,37,222,312,0,19287,3743,206,69,6684,4228,0%,5900,10646,52%,-10746,-4456,924,774,81
9/1/2024,1106,66,150,45,199,186,430,0,17238,2598,181,69,6672,4369,0%,5100,9518,58%,-10532,-4191,1351,1128,83
10/1/2024,1769,27,150,43,803,120,967,0,11497,1865,164,64,3009,4147,0%,5161,5664,50%,-6479,-294,1312,1095,84
11/1/2024,1575,237,150,69,333,147,548,2016,18442,1730,111,81,2957,3491,0%,14597,10612,31%,-5827,3287,156,203,76
12/1/2024,1317,590,150,179,287,143,610,2761,31668,2081,114,41,4160,2818,100%,27882,26217,20%,-6231,338,150,200,69
