schism_boundary,boundary_kind,source_kind,derived,interp,source_file,var,sign,convert,rhistinterp_p,formula,note,
ccc_rock,flux,CSV,TRUE,TRUE,${alt_name}.csv,CCC,1,CFS_CMS,2,np.nanmean(flux.ccc_rock/(flux.ccc_rock+flux.ccc_old+flux.ccc_victoria)) * (csv.CCC),uses historical mean ratio of ccc_rock to all CCC,ccc rs
ccc_old,flux,CSV,TRUE,TRUE,${alt_name}.csv,CCC,1,CFS_CMS,2,np.nanmean(flux.ccc_old/(flux.ccc_rock+flux.ccc_old+flux.ccc_victoria)) * (csv.CCC),uses historical mean ratio of ccc_old to all CCC,cccold
swp,flux,CSV,,TRUE,${alt_name}.csv,CCFB,1,CFS_CMS,2,,,swp
cvp,flux,CSV,,TRUE,${alt_name}.csv,Jones,1,CFS_CMS,2,,,cvp
sjr,flux,CSV,,TRUE,${alt_name}.csv,VNS,-1,CFS_CMS,1,,,sjr
calaveras,flux,CSV,,TRUE,${alt_name}.csv,CAL,-1,CFS_CMS,2,,,cal
east,flux,CSV,TRUE,TRUE,${alt_name}.csv,CSMR;MOKE,-1,CFS_CMS,2,(csv.CSMR+csv.MOKE),"SCHISM ""east"" boundary is combo of Cosumnes and Mokelumne Rivers",east
american,flux,CSV,TRUE,TRUE,${alt_name}.csv,FPT,-1,CFS_CMS,2,np.nanmean(flux.american/(flux.sac+flux.american)) * (csv.FPT),uses historical mean ratio of american to sacramento,amer
sac,flux,CSV,TRUE,TRUE,${alt_name}.csv,FPT;WWTP,-1,CFS_CMS,2,np.nanmean(flux.sac/(flux.sac+flux.american)) * (csv.FPT) + csv.WWTP,uses historical mean ratio of sacramento to sacramento plus the WWTP along the Sac,sac
yolo_toedrain,flux,CSV,TRUE,TRUE,${alt_name}.csv,YOLO,-1,CFS_CMS,2,"np.maximum(3000, csv.YOLO)",at most 3000 goes down the toe drain,yolo td
yolo,flux,CSV,TRUE,TRUE,${alt_name}.csv,YOLO,-1,CFS_CMS,2,"np.maximum(0,csv.YOLO-3000)","After 3000 to toe drain, main bypass receives remaining flux",yolo
northbay,flux,CSV,,TRUE,${alt_name}.csv,BKR,1,CFS_CMS,2,,,nb
ccc_victoria,flux,CSV,TRUE,TRUE,${alt_name}.csv,CCC,1,CFS_CMS,2,np.nanmean(flux.ccc_victoria/(flux.ccc_rock+flux.ccc_old+flux.ccc_victoria)) * (csv.CCC),uses historical mean ratio of ccc_victoria to all CCC,ccc vic
height,delta_cross_channel,CSV,TRUE,FALSE,${alt_name}.csv,DCC,,,,var_df.DCC; 10; 0; month_fraction,dss is days closed out of the month,dcc
sourcesink,cu,YAML,TRUE,FALSE,port_monthly_to_schism_flow_dcc.yaml,DCU,,,,,uses a DSM2 consumptive use basis,dcu
op_up,montezuma_radial,CSV,TRUE,FALSE,${alt_name}.csv,SMSCG_OP,,,,var_df.SMSCG_OP; 1; 0; months,operate Tidally for 0 (op_up=0) and open for 1 (monthly increment),smscg
op_down,montezuma_radial,CONSTANT,,FALSE,,1,,,,,operate Tidally for 0 (op_down=1) and open for 1 (monthly increment) (op_down=1),smscg
op_up,montezuma_boat_lock,CONSTANT,,FALSE,,1,,,,,Always open,smscg
op_down,montezuma_boat_lock,CONSTANT,,FALSE,,1,,,,,Always open,smscg
op_up,montezuma_flash,CONSTANT,,FALSE,,0,,,,,Always closed,smscg
op_down,montezuma_flash,CONSTANT,,FALSE,,0,,,,,Always closed,smscg
