FID,Id,ORIG_FID,POINT_X,POINT_Y
0,0,0,608027.408735999950000,4208425.334630000400000
1,0,0,589235.676238000040000,4214763.815829999700000
2,0,0,585656.298619000010000,4216702.645370000000000
3,0,0,581869.165444000040000,4219888.387869999700000
4,0,0,573650.469522999950000,4231393.007679999800000
5,0,0,589608.528073000020000,4234748.674200000200000
6,0,0,589667.335032999980000,4234664.630250000400000
7,0,0,604600.596503000010000,4238116.519030000100000
8,0,0,604597.323621000050000,4238144.876500000200000
9,0,0,609817.097546000030000,4243547.977509999600000
10,0,0,616603.000948000000000,4250706.732750000400000
11,0,0,621897.497009000040000,4261966.858180000400000
12,0,0,624507.459856000030000,4259282.324959999900000
13,0,0,620406.089668000000000,4248320.481010000200000
14,0,0,619734.956364999990000,4231243.866949999700000
15,0,0,615559.015809000000000,4217373.778680000500000
16,0,0,611084.793785999990000,4210289.593810000500000
17,0,0,608027.408735999950000,4208425.334630000400000
