FID,Id,ORIG_FID,POINT_X,POINT_Y
0,0,0,576852.294618000040000,4214386.503549999600000
1,0,0,578277.428363000040000,4214577.252240000300000
2,0,0,581654.370027999980000,4219114.123220000400000
3,0,0,581992.830049999990000,4220334.156849999900000
4,0,0,583659.367540000010000,4222526.779430000100000
5,0,0,585866.613159999950000,4222878.659169999900000
6,0,0,589862.433131000030000,4220863.245620000200000
7,0,0,597480.501667000000000,4214512.976619999900000
8,0,0,593922.055485000020000,4211216.640209999900000
9,0,0,584293.715750999980000,4209326.337179999800000
10,0,0,576431.553961000060000,4209181.529260000200000
11,0,0,575528.451588000050000,4210888.237150000400000
12,0,0,576852.294618000040000,4214386.503549999600000
