FID,Id,ORIG_FID,POINT_X,POINT_Y
0,0,0,576852.294618000040000,4214386.503549999600000
1,0,0,574239.528976000030000,4230063.097400000300000
2,0,0,582970.796438000050000,4233502.687610000400000
3,0,0,598680.463273999980000,4233171.957779999800000
4,0,0,598549.291246999990000,4217119.113819999600000
5,0,0,598046.436667999950000,4214890.082790000400000
6,0,0,597568.327062999950000,4214436.479380000400000
7,0,0,595803.113770000050000,4215974.006719999900000
8,0,0,589916.122829000000000,4220835.735190000400000
9,0,0,585914.291909000020000,4222886.260130000300000
10,0,0,583632.256094999960000,4222522.457320000000000
11,0,0,582673.139593000060000,4221364.902920000300000
12,0,0,582011.679937000040000,4220405.786419999800000
13,0,0,581680.950108999970000,4219149.013070000300000
14,0,0,578266.490268999940000,4214667.085430000000000
15,0,0,576852.294618000040000,4214386.503549999600000
