"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
0,bay,0,545880.4612,4185850.4573
1,bay,20,545896.6046,4185862.2638
2,bay,40,545912.7479,4185874.0702
3,bay,60,545928.9078,4185885.8539
4,bay,80,545945.1113,4185897.5777
5,bay,100,545961.3147,4185909.3016
6,bay,120,545977.5511,4185920.9796
7,bay,140,545993.8143,4185932.6204
8,bay,160,546010.0775,4185944.2612
9,bay,180,546026.3899,4185955.8330
10,bay,200,546042.7124,4185967.3905
11,bay,220,546059.0411,4185978.9392
12,bay,240,546075.4225,4185990.4130
13,bay,260,546091.8039,4186001.8869
14,bay,280,546108.2077,4186013.3286
15,bay,300,546124.6476,4186024.7185
16,bay,320,546141.0875,4186036.1084
17,bay,340,546157.5658,4186047.4426
18,bay,360,546174.0637,4186058.7482
19,bay,380,546190.5617,4186070.0539
20,bay,400,546207.1137,4186081.2802
21,bay,420,546223.6693,4186092.5012
22,bay,440,546240.2368,4186103.7046
23,bay,460,546256.8477,4186114.8436
24,bay,480,546273.4587,4186125.9826
25,bay,500,546290.0800,4186137.1059
26,bay,520,546306.7463,4186148.1620
27,bay,540,546323.4125,4186159.2181
28,bay,560,546340.0930,4186170.2525
29,bay,580,546356.8171,4186181.2209
30,bay,600,546373.5412,4186192.1892
31,bay,620,546390.2879,4186203.1228
32,bay,640,546407.0722,4186213.9988
33,bay,660,546423.8566,4186224.8748
34,bay,680,546440.6764,4186235.6955
35,bay,700,546457.5231,4186246.4746
36,bay,720,546474.3698,4186257.2537
37,bay,740,546491.2694,4186267.9496
38,bay,760,546508.1805,4186278.6274
39,bay,780,546525.0998,4186289.2920
40,bay,800,546542.0771,4186299.8642
41,bay,820,546559.0544,4186310.4364
42,bay,840,546576.0641,4186320.9562
43,bay,860,546593.1093,4186331.4186
44,bay,880,546610.1545,4186341.8809
45,bay,900,546627.2525,4186352.2567
46,bay,920,546644.3582,4186362.6200
47,bay,940,546661.4946,4186372.9321
48,bay,960,546678.6519,4186383.2096
49,bay,980,546695.8260,4186393.4589
50,bay,1000,546713.0348,4186403.6500
51,bay,1020,546730.2467,4186413.8358
52,bay,1040,546747.5068,4186423.9397
53,bay,1060,546764.7669,4186434.0436
54,bay,1080,546782.0679,4186444.0771
55,bay,1100,546799.3792,4186454.0932
56,bay,1120,546816.7183,4186464.0608
57,bay,1140,546834.0804,4186473.9882
