id,x,y
2,652401.1875000001,4174797.25
17,652948,4171407
27,636786.6875,4207985
28,635170.4375,4207343.5
31,632414.8125,4210196
33,631497.375,4211860.5
34,630043,4212840
36,628660.3125,4214299.5
37,627151.75,4213231
57,639042.0625,4185164.25
69,628267,4185764
76,613113.8125,4208441
88,626033.75,4200540.5
90,625184.3125,4201804
94,624563.1875,4204863
97,624716.25,4206435.5
99,624676.5625,4207441.5
101,624976.5625,4211592.5
102,624560.75,4210245.5
103,624402.3125,4213537.5
120,629415.5,4199343.5
123,629630.3125,4201124.5
129,629837.25,4207034
131,630892.875,4207914.5
132,630164.6875,4208029.5
134,629163.1875,4211556.5
154,642975.375,4181314
157,641365.75,4181880.5
160,639571.81,4183094.5
166,645323.5,4183265.25
181,624569.9375,4184215.75
184,628940.75,4190098.75
185,628333.6875,4190196.25
186,628358.5,4190951.75
