Date,Time,Station Number,Depth,Salinity,Temperature
MM/DD/YYYY,24 hr.,,[meters],[psu],[°C]
 11/18/2015,0645,18.0,1.0,30.22,14.45
 11/18/2015,0645,18.0,2.0,31.10,14.31
 11/18/2015,0645,18.0,3.0,31.76,14.23
 11/18/2015,0645,18.0,4.0,31.91,14.22
 11/18/2015,0645,18.0,5.0,32.01,14.21
 11/18/2015,0645,18.0,6.0,32.06,14.21
 11/18/2015,0645,18.0,7.0,32.08,14.21
 11/18/2015,0645,18.0,8.0,32.08,14.21
 11/18/2015,0645,18.0,9.0,32.09,14.21
 11/18/2015,0645,18.0,10.0,32.09,14.21
 11/18/2015,0645,18.0,11.0,32.09,14.21
 11/18/2015,0645,18.0,12.0,32.09,14.20
 11/18/2015,0645,18.0,13.0,32.10,14.20
 11/18/2015,0645,18.0,14.0,32.10,14.20
 11/18/2015,0645,18.0,15.0,32.10,14.21
 11/18/2015,0645,18.0,16.0,32.10,14.21
 11/18/2015,0645,18.0,17.0,32.10,14.20
 11/18/2015,0645,18.0,18.0,32.10,14.20
 11/18/2015,0645,18.0,19.0,32.10,14.20
 11/18/2015,0645,18.0,20.0,32.11,14.20
 11/18/2015,0645,18.0,21.0,32.11,14.19
 11/18/2015,0645,18.0,22.0,32.11,14.19
 11/18/2015,0645,18.0,23.0,32.11,14.19
 11/18/2015,0645,18.0,24.0,32.12,14.19
 11/18/2015,0645,18.0,25.0,32.12,14.19
 11/18/2015,0645,18.0,26.0,32.12,14.19
 11/18/2015,0645,18.0,27.0,32.12,14.20
 11/18/2015,0645,18.0,28.0,32.12,14.20
 11/18/2015,0645,18.0,29.0,32.12,14.20
 11/18/2015,0645,18.0,30.0,32.12,14.20
 11/18/2015,0645,18.0,31.0,32.12,14.20
 11/18/2015,0645,18.0,32.0,32.13,14.20
 11/18/2015,0645,18.0,33.0,32.12,14.20
 11/18/2015,0645,18.0,34.0,32.13,14.19
 11/18/2015,0645,18.0,35.0,32.13,14.19
 11/18/2015,0645,18.0,36.0,32.13,14.19
 11/18/2015,0645,18.0,37.0,32.14,14.19
